Paese di cittadinanza;Maschi;Femmine;Totale;Totale per 100 stranieri residenti;F per 100 MF
Romania ;497.577;670.975;1.168.552;23,2;57,4
Albania ;229.870;218.537;448.407;8,9;48,7
Marocco ;225.278;195.373;420.651;8,3;46,4
Cinese, Repubblica Popolare ;142.227;139.745;281.972;5,6;49,6
Ucraina ;50.726;183.628;234.354;4,6;78,4
Filippine ;71.888;94.571;166.459;3,3;56,8
India ;89.778;61.652;151.430;3;40,7
Moldova ;45.512;90.149;135.661;2,7;66,5
Bangladesh ;88.263;34.165;122.428;2,4;27,9
Egitto ;76.754;36.011;112.765;2,2;31,9
Pakistan ;74.186;34.018;108.204;2,1;31,4
Sri Lanka (ex Ceylon) ;56.356;48.552;104.908;2,1;46,3
Senegal ;74.334;26.873;101.207;2;26,6
Perù ;41.216;57.894;99.110;2;58,4
Polonia ;25.699;71.363;97.062;1,9;73,5
Tunisia ;58.764;35.300;94.064;1,9;37,5
Nigeria ;50.120;38.413;88.533;1,8;43,4
Ecuador ;35.462;47.658;83.120;1,6;57,3
Macedonia, Repubblica di ;35.589;32.380;67.969;1,3;47,6
Bulgaria ;21.670;36.950;58.620;1,2;63
Ghana ;30.497;17.641;48.138;1;36,6
Brasile ;12.853;32.557;45.410;0,9;71,7
Kosovo ;22.627;18.717;41.344;0,8;45,3
Serbia, Repubblica di ;19.783;20.154;39.937;0,8;50,5
Germania ;13.701;22.959;36.660;0,7;62,6
Russa, Federazione ;6.674;29.687;36.361;0,7;81,6
Francia ;11.372;17.909;29.281;0,6;61,2
Dominicana, Repubblica ;10.599;17.403;28.002;0,6;62,1
Regno Unito ;12.208;15.000;27.208;0,5;55,1
Costa d'Avorio ;16.250;9.909;26.159;0,5;37,9
Bosnia-Erzegovina ;13.814;11.977;25.791;0,5;46,4
Spagna ;7.516;16.312;23.828;0,5;68,5
Cuba ;5.479;15.507;20.986;0,4;73,9
Algeria ;12.705;7.732;20.437;0,4;37,8
Turchia ;11.026;8.191;19.217;0,4;42,6
Colombia ;6.750;11.218;17.968;0,4;62,4
Croazia ;8.823;8.875;17.698;0,4;50,1
Mali ;14.120;648;14.768;0,3;4,4
Stati Uniti d'America ;6.356;8.293;14.649;0,3;56,6
Georgia ;2.489;12.114;14.603;0,3;83
Burkina Faso (ex Alto Volta) ;9.376;4.930;14.306;0,3;34,5
Bolivia ;5.328;8.748;14.076;0,3;62,1
Gambia ;13.350;430;13.780;0,3;3,1
El Salvador ;5.284;8.208;13.492;0,3;60,8
Camerun ;6.816;6.492;13.308;0,3;48,8
Afghanistan ;10.453;771;11.224;0,2;6,9
